feature,importance_mean,importance_std
522,0.00144345757137877,0.0019900234790027173
305,0.0013220015944990116,0.0015277599212029406
293,0.0013160845084459027,0.000690177268184174
446,0.001309855996811049,0.0008869980098118074
166,0.001121754945438258,0.0011773384703359724
425,0.0010809581942299474,0.0006304056136655772
759,0.0010526184662913163,0.0006165880480377498
134,0.0010255244406796483,0.0003986309487642449
300,0.0010205416313718075,0.0006311676179210524
41,0.0009134112312522092,0.0006122258632765699
209,0.0008196721311475752,0.0006161487253551125
12,0.0007667297822512575,0.00041341039251269895
588,0.0007552070357267737,0.00034864577215295287
70,0.0007156559868453927,0.0002620338620086839
651,0.0007125417310279769,0.00028890090311962816
59,0.0007047560914843987,0.00037000334311599757
727,0.0006639593402760824,0.0003063351471354464
105,0.0006508794658428519,0.0002687189549462073
400,0.0006455852309532384,0.0002717464364947178
213,0.0006449623797897541,0.00032062908451675954
637,0.0006219168867407753,0.0005451291983432458
655,0.0006135083960337017,0.00020167782176339086
482,0.0005966914146195823,0.0005608206662312779
437,0.0005945114355473902,0.00023694943859597377
488,0.0005733344959888587,0.0001993267265715129
48,0.0005580746424834471,0.00026210417676666097
561,0.0005574517913199628,0.0004566289207695937
580,0.0005543375355025193,0.00023574731409724717
725,0.0005449947680502554,0.0002554259387706259
498,0.0005428147889780521,0.0005087755258755064
550,0.0005353405750162243,0.0004154630863961102
377,0.0005309806168718179,0.00019513117805258873
392,0.0005278663610544021,0.0002394607575919974
366,0.0005216378494195372,0.0002095769220979236
137,0.0005188350191838442,0.0002240195714638353
49,0.0005035751656784215,0.00017208369964809183
617,0.0005001494842792776,0.0005319349499215753
263,0.0005001494842792609,0.00033443163682525084
764,0.0004932981214809007,0.0001659591571064267
198,0.0004914295679904479,0.0002593926466943539
538,0.0004904952912452298,0.0003891941452561185
670,0.0004852010563555942,0.00023893385714612953
381,0.00048146394937469974,0.0002623386696443748
40,0.00047897254472075156,0.0002222007885821313
438,0.00047461258657633396,0.00020438251403471263
591,0.00046744979819623447,0.00025745291216751516
546,0.00045717275399871914,0.0004778912565533206
647,0.00044596143305600244,0.0006240564599883739
33,0.00043319298420451123,0.00021809109253127776
155,0.0004300787283870844,0.000248653191772452
453,0.0004263416214061788,0.000238141626067009
750,0.00042229308884350614,0.000279712187431307
206,0.0004194902586078242,0.0001764689699570335
225,0.0004182445562808723,0.0005086306294086268
615,0.00041793313069909965,0.0006029408377335487
739,0.0004070332353381112,0.00021035662730397453
45,0.0003917733818327274,0.0004737555968572844
